Smiles,MMGBSA dG Bind
CC=1C=NC(N)=NC1C=2C=CC=CC2,-33.0
CCC1=NNC(=O)C(C#N)=C1CC,-22.55
CCC1CNCCN1CC(C)O,-35.32
CC(C)N1C=CN=C1CN2CCCNCC2,-41.99
NC1CCC2=NC=NN2C1,-25.85
CCC=1N=C2CCC(N)CN2N1,-30.14
CC1=CC(C)=NN1CC2CNCCO2,-30.12
CC1=NN(C)C(C)=C1C2CCCN2,-31.72
O=C1CNC(=O)C=2SC=CC2N1,-32.09
CNC=1C=NN=C2C=CC=CC12,-31.3
O=C1NC=NC=2NCCCC12,-24.86
OC1(CC=2C=CC=C(F)C2)CCNC1,-35.86
OC1(CC=2C=CC=CC2)CC3CCC(C1)N3,-37.0
CCN1CCNC(C)C1=O,-27.78
CC(C)C1=NC=2CNCCC2N1C,-29.92
O=C(O)CN1C(=O)CCCC=2SC=CC21,-18.78
NC1=NOC(CC=2C=CC(F)=CC2)=N1,-35.79
NC1=NOC(CC=2C=CC=CC2)=N1,-30.94
OCC1CCC=2C=CC=CC21,-31.05
CC1=NC(C)=C(CCN)S1,-30.57
CCNCC=1C=CC=2NC=CC2C1,-33.66
OCC1=NC(CC=2C=CC(F)=CC2)=NO1,-35.75
OCC1=NC(CC2=CC=CC(F)=C2)=NO1,-34.01
CC1=NN(C)C(N)=C1C#N,-23.62
CCC(O)C1CCCCN1,-35.45
COCCN1N=C(C)C=C1C,-35.69
C=1N=CN(CCC=2C=CC=CC2)N1,-31.47
NS(=O)(=O)C=1C=CC=2OCCCC2C1,-32.42
OCC1=NOC=2CCCCC12,-33.69
CCC1=NC(=CS1)C(C)N,-27.54
C1CN(CCO1)C2CCCNCC2,-33.47
CNC=1C=C(C#N)C=2C=CC=CC2N1,-37.67
CC1CNCC(O1)C(F)(F)F,-23.46
COCC1CNCC(C)O1,-25.4
CC1=NC(=CS1)C=2C=C(OC2C)C(=O)O,-23.51
O=S1(=O)CCNC2CCCCC21,-26.21
CCC(N)C1CCOCC1,-22.66
O=C(O)C=1C=CN=CC1C(F)(F)F,-14.4
OCCOC=1C=CC=NC1,-30.79
CN1C(=O)CC(C(=O)O)C1C=2C=CC=CC2,-24.63
O=C1CCCCN1C=2C=CC=CC2,-31.76
CN1N=CC=C1C(O)C=2C=CC=CC2,-37.73
CN1N=CC=C1N2CCCC(N)C2,-26.92
CN1N=CC=C1CC2CCNCC2,-32.49
CCN1N=CC=C1CCO,-28.34
CN1C=CN=C1CC2CCCNC2,-30.35
CN1C=CC=2CCNC(=O)C21,-20.69
CC1NC=2N=CC=CC2NC1=O,-25.87
OCC#CC=1C=CC=C(F)C1F,-30.94
NC1CCSC2=CC=C(F)C=C21,-32.9
NCCC1=CSC(=N1)N2CCCC2,1.04
CN1C(=O)CC(C(=O)O)C1C2=CC=CS2,-22.2
CN1CCC(CN)C1C2=CC=CS2,-29.76
CN1C(=O)OC=2C=C(C=CC21)CO,-31.12
C1=NNC=C1C2CCCCN2,-32.22
NC1CCOC(C1)C=2C=CN=CC2,-35.43
NC1CCOC(C1)C2CC2,-26.96
OC1CCOC2(CCOCC2)C1,-31.37
NC1CCOC2(CCOC2)C1,-23.94
CC1CC(CCO1)C(=O)O,-15.54
O=C(O)C=1C=NC=C(F)C1,-11.38
COC=1C=C(C)SC1C(=O)O,-25.38
COC1=NC(C)=CC(=O)N1,-20.43
OCC=1N=CC=CC1C(F)(F)F,-28.12
CC1=CC(CC(=O)O)=NO1,-15.04
CC(C)C1CCNC(=O)CC1,-30.0
NC=1C=C(C=CN1)CCO,-26.85
CCC=1C=C(Cl)C=NC1N,-26.37
CC1(C)C(=O)NC=2C=CC=CC21,-29.32
O=C1C=CC=NN1C=2C=CC=CC2,-30.84
CC=1SC=CC1CC(=O)O,-10.61
O=C(O)CC1NC(=O)C2=CC=CC=C21,-28.88
COC=1C=CC=2C(=O)NCCCC2C1,-34.67
ClC=1C=CC=CC1C2CNCCN2,-40.02
CC1=NC(C)=C(C)N=C1N(C)C,-28.37
CCC1=NNC(=O)N1CC,-18.92
COC=1C=NC=C(C1)OC,-24.03
CC1(CC=CCC1)C(=O)O,-6.4
COC1=CC=CC2=CC=C(N)N=C12,-31.37
CC1=NC(C(N)=O)=C(N)N1C,-19.36
CN1C=C(N)C(=N1)C(N)=O,-17.88
CCN1C=C(N)C(=N1)C(N)=O,-17.52
CCN1C=C(C(C)=N1)C(C)N,-29.45
CC(C)N1N=CC(C(N)=O)=C1N,-26.52
CC1=NC2(CCCC2)C(=O)N1,-29.21
O=C1N=C2C=CC=CN2C(=O)N1,-27.85
CC=1N=CC=NC1CCO,-24.29
CC=1C=C(C(=O)O)N(N1)C(F)F,-14.92
CN1C=C(C(=O)O)C(=N1)C2CC2,-16.62
CCN1C=C(C(=O)O)C(=N1)C2CC2,-16.98
CN1C=C(CO)C(=N1)C=2C=CC=CC2,-36.92
O=C1CCC=2C=CC=NC2N1,-31.54
