mol_id,canonical_smiles,mmgbsa_kcal_mol
111,Cc1cnc(N)nc1-c1ccccc1,-33.0
112,CCc1n[nH]c(=O)c(C#N)c1CC,-22.55
113,CCC1CNCCN1CC(C)O,-35.32
114,CC(C)n1ccnc1CN1CCCNCC1,-41.99
115,NC1CCc2ncnn2C1,-25.85
116,CCc1nc2n(n1)CC(N)CC2,-30.14
117,Cc1cc(C)n(CC2CNCCO2)n1,-30.12
118,Cc1nn(C)c(C)c1C1CCCN1,-31.72
119,O=C1CNC(=O)c2sccc2N1,-32.09
120,CNc1cnnc2ccccc12,-31.3
121,O=c1[nH]cnc2c1CCCN2,-24.86
122,OC1(Cc2cccc(F)c2)CCNC1,-35.86
123,OC1(Cc2ccccc2)CC2CCC(C1)N2,-37.0
124,CCN1CCNC(C)C1=O,-27.78
125,CC(C)c1nc2c(n1C)CCNC2,-29.92
126,O=C(O)CN1C(=O)CCCc2sccc21,-18.78
127,Nc1noc(Cc2ccc(F)cc2)n1,-35.79
128,Nc1noc(Cc2ccccc2)n1,-30.94
129,OCC1CCc2ccccc21,-31.05
130,Cc1nc(C)c(CCN)s1,-30.57
131,CCNCc1ccc2[nH]ccc2c1,-33.66
132,OCc1nc(Cc2ccc(F)cc2)no1,-35.75
133,OCc1nc(Cc2cccc(F)c2)no1,-34.01
134,Cc1nn(C)c(N)c1C#N,-23.62
135,CCC(O)C1CCCCN1,-35.45
136,COCCn1nc(C)cc1C,-35.69
137,c1ccc(CCn2cncn2)cc1,-31.47
138,NS(=O)(=O)c1ccc2c(c1)CCCO2,-32.42
139,OCc1noc2c1CCCC2,-33.69
140,CCc1nc(C(C)N)cs1,-27.54
141,C1CNCCC(N2CCOCC2)C1,-33.47
142,CNc1cc(C#N)c2ccccc2n1,-37.67
143,CC1CNCC(C(F)(F)F)O1,-23.46
144,COCC1CNCC(C)O1,-25.4
145,Cc1nc(-c2cc(C(=O)O)oc2C)cs1,-23.51
146,O=S1(=O)CCNC2CCCCC21,-26.21
147,CCC(N)C1CCOCC1,-22.66
148,O=C(O)c1ccncc1C(F)(F)F,-14.4
149,OCCOc1cccnc1,-30.79
150,CN1C(=O)CC(C(=O)O)C1c1ccccc1,-24.63
151,O=C1CCCCN1c1ccccc1,-31.76
152,Cn1nccc1C(O)c1ccccc1,-37.73
153,Cn1nccc1N1CCCC(N)C1,-26.92
154,Cn1nccc1CC1CCNCC1,-32.49
155,CCn1nccc1CCO,-28.34
156,Cn1ccnc1CC1CCCNC1,-30.35
157,Cn1ccc2c1C(=O)NCC2,-20.69
158,CC1Nc2ncccc2NC1=O,-25.87
159,OCC#Cc1cccc(F)c1F,-30.94
160,NC1CCSc2ccc(F)cc21,-32.9
161,NCCc1csc(N2CCCC2)n1,1.04
162,CN1C(=O)CC(C(=O)O)C1c1cccs1,-22.2
163,CN1CCC(CN)C1c1cccs1,-29.76
164,Cn1c(=O)oc2cc(CO)ccc21,-31.12
165,c1n[nH]cc1C1CCCCN1,-32.22
166,NC1CCOC(c2ccncc2)C1,-35.43
167,NC1CCOC(C2CC2)C1,-26.96
168,OC1CCOC2(CCOCC2)C1,-31.37
169,NC1CCOC2(CCOC2)C1,-23.94
170,CC1CC(C(=O)O)CCO1,-15.54
171,O=C(O)c1cncc(F)c1,-11.38
172,COc1cc(C)sc1C(=O)O,-25.38
173,COc1nc(C)cc(=O)[nH]1,-20.43
174,OCc1ncccc1C(F)(F)F,-28.12
175,Cc1cc(CC(=O)O)no1,-15.04
176,CC(C)C1CCNC(=O)CC1,-30.0
177,Nc1cc(CCO)ccn1,-26.85
178,CCc1cc(Cl)cnc1N,-26.37
179,CC1(C)C(=O)Nc2ccccc21,-29.32
180,O=c1cccnn1-c1ccccc1,-30.84
181,Cc1sccc1CC(=O)O,-10.61
182,O=C(O)CC1NC(=O)c2ccccc21,-28.88
183,COc1ccc2c(c1)CCCNC2=O,-34.67
184,Clc1ccccc1C1CNCCN1,-40.02
185,Cc1nc(C)c(N(C)C)nc1C,-28.37
186,CCc1n[nH]c(=O)n1CC,-18.92
187,COc1cncc(OC)c1,-24.03
188,CC1(C(=O)O)CC=CCC1,-6.4
189,COc1cccc2ccc(N)nc12,-31.37
190,Cc1nc(C(N)=O)c(N)n1C,-19.36
191,Cn1cc(N)c(C(N)=O)n1,-17.88
192,CCn1cc(N)c(C(N)=O)n1,-17.52
193,CCn1cc(C(C)N)c(C)n1,-29.45
194,CC(C)n1ncc(C(N)=O)c1N,-26.52
195,CC1=NC2(CCCC2)C(=O)N1,-29.21
196,O=c1nc2ccccn2c(=O)[nH]1,-27.85
197,Cc1nccnc1CCO,-24.29
198,Cc1cc(C(=O)O)n(C(F)F)n1,-14.92
199,Cn1cc(C(=O)O)c(C2CC2)n1,-16.62
200,CCn1cc(C(=O)O)c(C2CC2)n1,-16.98
201,Cn1cc(CO)c(-c2ccccc2)n1,-36.92
202,O=C1CCc2cccnc2N1,-31.54
203,CCc1ccc(C2CNCCN2)cc1,-41.55
204,O=C1CCOc2cc(F)ccc21,-22.83
205,O=C(O)C1C=CC=CC=C1,-15.98
206,CCOc1cccc(C)n1,-26.03
207,Cc1cccnc1CCO,-31.83
208,c1nc(C2CC2)nc2c1CNCC2,-28.01
209,CN(C)C1CCCC(N)C1,-22.34
